"","converted_to_VISIT","total_impressions","first_touchpoint","last_touchpoint","timeframe_hours","channel_display_abs","channel_highimpact_abs","channel_search_abs","channel_video_abs","platform_desktop_abs","platform_mobile_abs","platform_social_abs","typeofbuy_contentamplification_abs","typeofbuy_endemic_abs","typeofbuy_network_abs","typeofbuy_programmatic_abs","typeofbuy_publisherdirect_abs","typeofbuy_search_abs","sitetype_broadcast_abs","sitetype_contentamplification_abs","sitetype_discoveryengine_abs","sitetype_endemic_abs","sitetype_internetradio_abs","sitetype_lifestyle_abs","sitetype_majormedia_abs","sitetype_network_abs","sitetype_portal_abs","sitetype_programmatic_abs","sitetype_sportsleague_abs","sitetype_videoportal_abs","overalltargeting_behavioral_abs","overalltargeting_contextual_abs","overalltargeting_geo_abs","overalltargeting_lookalike_abs","overalltargeting_predictive_abs","overalltargeting_prospecting_abs","overalltargeting_remarketing_abs","overalltargeting_retargeting_abs","funnel_lower_abs","funnel_middle_abs","funnel_upper_abs","NULL_touches"
"1",1,28,1420340918,1422334439,553.755833333333,12,0,0,0,2,0,10,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,10,12,0,0,16
"2",0,2,1419007864,1419007988,0.0344444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"3",0,2,1418250492,1418250718,0.0627777777777778,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
"4",0,4,1420608756,1421056705,124.430277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"5",0,2,1421681218,1422451891,214.075833333333,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
"6",0,2,1418436260,1418436335,0.0208333333333333,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
"7",0,10,1421340279,1421609810,74.8697222222222,10,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0
"8",0,1,1421789167,1421789167,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"9",0,2,1421168864,1421169345,0.133611111111111,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0
"10",0,2,1422653173,1422653494,0.0891666666666667,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0
"11",0,7,1420496301,1422293113,499.114444444444,6,0,0,1,1,0,6,0,0,1,6,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0,6,7,0,0,0
"12",0,9,1422494258,1422587358,25.8611111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"13",0,2,1420838167,1420840208,0.566944444444444,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0
"14",0,2,1420703438,1420703708,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"15",0,3,1420876614,1421372284,137.686111111111,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2
"16",0,4,1420644312,1421492543,235.619722222222,4,0,0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0
"17",0,3,1420486896,1422456260,547.045555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"18",0,2,1417586395,1417658520,20.0347222222222,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
"19",0,3,1421738757,1422281633,150.798888888889,2,0,0,1,3,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,3,0,0,0
"20",0,37,1420589062,1422398662,502.666666666667,12,0,0,2,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,0,0,12,2,12,0,23
"21",0,3,1422539612,1422539733,0.0336111111111111,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0
"22",1,57,1418748678,1422378483,1008.27916666667,15,0,0,0,0,0,15,3,0,0,12,0,0,0,3,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,12,15,0,0,42
"23",0,7,1422219203,1422312787,25.9955555555556,0,0,0,7,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,7,0,0
"24",0,7,1422457996,1422458251,0.0708333333333333,0,0,0,7,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,7,0,0
"25",0,3,1420714726,1420717209,0.689722222222222,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0
"26",0,2,1419355488,1419443672,24.4955555555556,1,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0
